author,message,timestamp
@quangtrai2507,bích hải nghe âm thanh lực hơn,1:30:18
@HuyHoangPham-vc6tw,tùy phong cáchchoi,1:30:30
@quanphan4929,anh Chiến ko biết múa flo à:)),1:30:33
@quangtrai2507,vệ thần thì mượt hơn,1:30:55
@quanphan4929,mà bích hải bị cấm trong đấu giải:))),1:31:12
@quanphan4929,vì cái lỗi tàng hình mấy năm chx sửa:)),1:31:32
@quangtrai2507,nói chung mua cả 2 đi đỡ phải suy nghĩ đau đầu,1:31:47
@Hieu-HighLigh0,vãi còn luôn hả ,1:31:50
@quanphan4929,còn nhưng mà bây h hiếm gặp lắm,1:32:09
@quanphan4929,ko biết sao vẫn ko đc vác vào giait,1:32:20
@quanphan4929,giải,1:32:25
@quanphan4929,như con volkath thì vừa sửa đc bug này lòi ra bug khác nên cấm luôn,1:33:03
@dellcovideo3756,đau họng hở,1:33:25
@nguyen1758,volkath bth mà,1:33:50
@ngovanthieu6856,yên tâm vol fix xong thì cũng auto cấm :)),1:33:53
@quanphan4929,bthg đấy là đi rank chứ đánh giải thấy bug họ cấm luôn tướng như xeniel ngày trước ý:)),1:34:32
@nguyen1758,à,1:34:45
@ngovanthieu6856,volkath no lỗi lên ngựa spam full chiêu 2,1:34:45
@quanphan4929,quà quê:)),1:35:39
@shidoneko1426,volk bay màu 3 tỉ năm bị bug âm thanh cưỡi ngựa chứ:),1:35:42
@Hieu-HighLigh0,ước sau này nak vt với airi bích hải có nút bấm thông báo thì đã,1:36:30
@ngovanthieu6856,"volkath giờ fix xong cũng auto cấm thôi, trong giải cái liềm 1,5s đã là cả vấn đề, giờ con volkath bất tử 5s :)))",1:36:36
@ngovanthieu6856,lên ngựa còn dùng được đồ active vs chiêu 1 thì nó dí ad chạy bằng niềm tin :)),1:37:33
@quanphan4929,tiếc là ko đc vác vào giải xem tuyển thủ lên đồ với đánh thế nào:)),1:37:47
@quanphan4929,đủ mà:)),1:38:16
@ngovanthieu6856,volkath + xeniel thì lùa cả team bạn :))),1:38:51
@Hieu-HighLigh0,lướt ko đánh thường =),1:39:50
@anluu6094,baldum chôn thì sao nhỉ ,1:39:55
@dendat7127,gà,1:39:56
@nguyen1758,bắt đầu nhả :)),1:39:57
@quanphan4929,ra v:)),1:40:03
@Hiennguyen20o4,Trông con airi này ngố lắm ,1:40:05
@quanphan4929,lướt ko đánh thường là airi của 2018 à:))),1:40:25
@Hieu-HighLigh0,hayyy,1:40:57
@quanphan4929,ko ấy mình đổi giày đc r:)),1:41:26
@ngovanthieu6856,zata ulti mạnh x3 lần nếu ko thay đổi khả năng mùa sau hot pick trong giải,1:42:17
@Hieu-HighLigh0,ko lên đao hả ,1:42:31
@quanphan4929,ko hot đâu,1:42:48
@quanphan4929,hồi zata còn bay đc 2 lần liên tiếp cũng ko hot,1:43:06
@quanphan4929,bây h níu lại đc 70% sức mạnh ngày xưa thôi,1:43:27
@ngovanthieu6856,ulti giờ dame x3 + tích stack dễ hơn mà,1:43:30
@quanphan4929,gọi là ko thể bị gãy cánh chứ để như thời 2023 thì ko bằng,1:44:03
@annastasianguyen1488,nó lướt nhìn c2 bắt nên dễ đoán lắm,1:44:31
@vyye1812,c1 auto xịt,1:44:33
@HuyHoangPham-vc6tw,pha đáy liềm chơi luôn chứ,1:44:52
@Justcyannn,+1 sat dong chua#1312,1:45:06
