author,message,timestamp
@MANHĐOÀN-p4i, thấy cờ gì chưa,49:26
@inhphucthangnguyen793,nhăm mỳ nhăm mỳ,49:35
@hangphuong4944,t đang cầm dân chủ chờ m,49:39
@inhphucthangnguyen793,cờ gì,49:45
@tuankietmo6405,yêu đời ha còn hát=))),50:04
@1ssapphire,???,50:08
@hangphuong4944,có tử,50:08
@bopbopJQK,hh,50:11
@khangphan-d1d,????,50:15
@hangphuong4944,ớ ớ ớ ,50:22
@MANHĐOÀN-p4i,khôn hồn xin lỗi đi  cờ trắng đây free,50:23
@1ssapphire,mới vào kênh và tôi thấy cái gì thế nayd ,50:23
@hangphuong4944,phê quá,50:35
@ato6200,sao khong danh chung ket,50:36
@Teddy-1012,,50:38
@inhphucthangnguyen793,à dám chọc chủ tao à,50:39
@hangphuong4944,nhấp từ từ th manhdoan,50:44
@MANHĐOÀN-p4i,chuẩn bị lên thớt vào nồi giả cầy thôi chứ nhể,50:51
@myhanhngo4138,cmt toàn jvtr,51:02
@MANHĐOÀN-p4i,cả chủ lẫn chó,51:06
@hangphuong4944,"anh manhdoan ơi e, sắp ra",51:17
@khangphan-d1d,ADCCCCCCCCCC,51:25
@nogo88,Lạy bố,51:26
@TrọngHuỳnhcat08,:))))))))),51:29
@phantom_279,=)))),51:31
@TanNguyen-dr1yu,a sáng,51:37
@MinhQuang-o1p,:))))))))),51:41
@thanhloan2156,=))))))),51:43
@phantom_279,a Sáng,51:43
@ngocthuydiemnguyen105,:))),51:52
@fishroblox6668,A Sáng quên Lạng Sơn,51:53
@haotian1111,請強勢回歸吧SGP！,51:58
@TiếnĐỗ-e8b,lẠNG SƠN,51:58
@aiNguyenTat-yq2xc,36,52:01
@hangphuong4944,manhdoan,52:04
@phantom_279,A quê Lạng Sơn,52:07
@MinhChâuTrầnNguyễn-o6t,AD ĐI AH,52:09
@fishroblox6668,Chết mẹ rồi anh Sáng quê Lạng Sơn,52:15
@Teddy-1012,SGP ,52:15
@MANHĐOÀN-p4i,,52:32
@hangphuong4944,sáng kìa,52:34
@chaolaoda2,邦下一季還會打嗎？,52:42
@kenhnayzui3485,Hết thời r,52:43
@hangphuong4944,,52:46
@katxinhgai,skin đẹp ghê,52:48
@VeiVai-w5i,=)),52:51
@hungalex6700,định rủ em đi ăn tối nhưng lại sợ thành bữa tối của anh,53:01
@MANHĐOÀN-p4i,sao vậy ,53:05
@MANHĐOÀN-p4i,ko vui à ,53:13
@hangphuong4944,nah bro,53:16
@hangphuong4944,,53:31
@MinhChâuTrầnNguyễn-o6t,chị nào v ah,53:44
@haotian1111,我也是這麼想的，證據就是他還在選手宿舍呢,53:48
@MANHĐOÀN-p4i,,53:48
@inhphucthangnguyen793,"cậu chủ ơi , e bị ảnh lấy súng bắn vào tay em rồi em đau quá ",53:50
@hangphuong4944,vợ,53:50
@VeiVai-w5i,=))),53:51
@xuanvu9356,Pick gì k,53:52
@DuyLong1273,ghệ mới,53:56
@MANHĐOÀN-p4i,hahhhaaaaaaaa,54:06
@hangphuong4944,alo putin,54:17
@hoangg6646,ad đâu,54:21
@chaocaloc562,Ko lai fb nữa hả bâng,54:23
@inhphucthangnguyen793,huhuhuhu đau quá,54:24
@Teddy-1012,SGP Bang,54:25
@MANHĐOÀN-p4i,tao cầm hàng nóng,54:27
@hangphuong4944,cho xin 5 đầu đạn hạt nhân,54:34
@luonghieule4791,edras la duc shin phai k ae,54:35
@inhphucthangnguyen793,huhuhuhuhu ,54:44
@inhphucthangnguyen793,một một ba,54:54
@hangphuong4944,ko sao anh thương,54:59
@24thang_4,Khi nào mới có giải lại vậy ae,55:08
@inhphucthangnguyen793,huhu,55:11
@tuankietmo6405,cú sốc 10:29,55:14
@VeiVai-w5i,bulu:((,55:22
@hangphuong4944,ê manhdoan,55:44
@jonnynguyen17,flop nhỉ,55:47
@MANHĐOÀN-p4i, một cung tên găm thẳng vào trái tim em,55:53
@inhphucthangnguyen793,,56:00
@tuankietmo6405,mất lu,56:01
@fishroblox6668,:)?,56:08
@inhphucthangnguyen793,em nào mày,56:13
@hoangg6646,vcl cmt,56:14
@trangmai7547,mới đổi tên hả a,56:30
@MANHĐOÀN-p4i,kiki,56:32
@minhnguyenngoc2323,=))),57:29
@tuankietmo6405,cay thee=))),57:33
@hangphuong4944,thèm quá,57:36
@chaolaoda2,,57:38
@xuanvu9356,Blame r,57:42
@inhphucthangnguyen793,manhdoan bò,57:44
@VeiVai-w5i,=)))))))))))))))))))))) ,57:49
@Hi-hl7dy,ảnh lóng,57:55
@khangphan-d1d,:))))))))))))))))))),57:57
@FL.Dereiz.no1,má đồng đội này khổ quá,58:00
@sontung4552,hết thời,58:02
@hangphuong4944,alo chủ tiệm thịt cầy,58:03
@inhphucthangnguyen793,aaaaaaa đao quá ,58:05
@NhậtKhánhNguyễn-x5k,ảnh lóng òi;))),58:05
@tuankietmo6405,cọc=)))),58:07
@laitranthanhmai,ê=)),58:07
@TùngNguyễn-f7t1v,??,58:09
@PhươngNguyênNguyễnNhật,:)),58:12
@TiếnĐạtLộc,:)),58:13
@hangphuong4944,tui muốn bán 1 con cầy,58:16
@haotian1111,哈哈哈哈哈哈哈哈,58:17
@khangphan-d1d,cayyyy,58:22
@hangphuong4944,lm riềng mẻ xào nướng cho t nha,58:35
@dinhbac0078,Có giải nghệ ko Gái,58:35
@aiNguyenTat-yq2xc,bỏ bạn,58:39
@Min-rp8dy,hình như flo jigo à,58:48
@inhphucthangnguyen793,chào cậu chủ em không còn sống lâu cùng câu chủ nửa ,59:07
@hangphuong4944,tại sao,59:15
@phantom_279,phải adc k ae,59:33
@tuankietmo6405,cmt xàm v,59:41
@myhanhngo4138,shin nha,59:46
@inhphucthangnguyen793,ảnh manhdoan ảnh lấy cái thanh sắt ảnh đâm mắt EM ,1:00:06
@hangphuong4944,hả,1:00:13
@inhphucthangnguyen793,HUHUHUHUHUH,1:00:17
@hangphuong4944,phản chuyển thuật thức,1:00:25
@sontung4552,lỗi r,1:00:29
@inhphucthangnguyen793,a đau quá,1:00:35
@TùngNguyễn-f7t1v,giờ đánh rank còn khó,1:00:38
@khangnguyen-wk1cy,càq lúc càq tệ,1:00:43
@hangphuong4944,chữa lành,1:00:44
@tuankietmo6405,húp[ được blu đỡ cay=))),1:00:53
@Min-rp8dy,đánh billow hơi cầu kỳ quả đấy,1:00:55
@myhanhngo4138,=)))))))),1:01:04
@inhphucthangnguyen793,đau quá cậu chủ ơi ,1:01:12
@khangnguyen-wk1cy,erez VN,1:01:31
@MinhQuang-o1p,:))))))),1:01:45
@fishroblox6668,Đoàn Văn Sáng:),1:01:50
@ato6200,đánh như này sao mà về quốc nội thịt đồng bào được,1:01:58
@inhphucthangnguyen793,,1:02:02
@TàiPhanThị-x7r,tôi bị lắc,1:02:32
@MANHĐOÀN-p4i,ảnh nóng rồi,1:02:50
@inhphucthangnguyen793,thì sao,1:03:00
@azami5283,ảnh hoá điên,1:03:05
@MANHĐOÀN-p4i,sao vậy ,1:03:22
@inhphucthangnguyen793,ê ê có gì từ từ nói nha,1:03:24
@tuankietmo6405,bánh đã nghiêm túc,1:03:30
@MANHĐOÀN-p4i,chủ đâu rồi,1:03:32
@MANHĐOÀN-p4i, ko còn chủ là hiểu vấn đề đó,1:03:47
@hoangg6646,thằng nào lấy dép t r ?,1:04:00
@MANHĐOÀN-p4i,bây giờ có ai bảo kê chưa,1:04:05
@inhphucthangnguyen793,anh ơi đừng cho em vào nồi giả cầy,1:04:07
@VeiVai-w5i,=,1:04:26
@VeiVai-w5i,=))),1:04:35
@MANHĐOÀN-p4i,sao lại ko cho ,1:04:35
@phamphamanhanhvuvu,hayyyyy,1:04:36
@tuankietmo6405,hay nàyy,1:04:41
@Hoshilre-k8,adu,1:04:44
@gbao6697,ác,1:04:44
@PhươngNguyênNguyễnNhật,=)))),1:04:45
@QuangKhaiTryHard,nailiuuu,1:04:47
@chaolaoda2,So good bang,1:04:47
@MANHĐOÀN-p4i,ko còn chủ bảo kê nữa rồi ,1:04:50
